ABCB1	ENSG00000085563
ABL1	ENSG00000097007
ABL2	ENSG00000143322
ABRAXAS1	ENSG00000163322
ACTA2	ENSG00000107796
ACTB	ENSG00000075624
ACVR1B	ENSG00000135503
ACVR1	ENSG00000115170
ACVR2A	ENSG00000121989
ADGRA2	ENSG00000020181
ADGRB1	ENSG00000181790
AGO1	ENSG00000092847
AGO2	ENSG00000123908
AJUBA	ENSG00000129474
AKT1	ENSG00000142208
AKT2	ENSG00000105221
AKT3	ENSG00000117020
ALB	ENSG00000163631
ALK	ENSG00000171094
ALOX12B	ENSG00000179477
AMER1	ENSG00000184675
ANKRD11	ENSG00000167522
ANKRD26	ENSG00000107890
APC	ENSG00000134982
APH1A	ENSG00000117362
APLNR	ENSG00000134817
APOB	ENSG00000084674
ARAF	ENSG00000078061
AR	ENSG00000169083
ARFRP1	ENSG00000101246
ARHGAP26	ENSG00000145819
ARHGAP35	ENSG00000160007
ARHGEF10	ENSG00000104728
ARHGEF12	ENSG00000196914
ARID1A	ENSG00000117713
ARID1B	ENSG00000049618
ARID2	ENSG00000189079
ARID3A	ENSG00000116017
ARID4B	ENSG00000054267
ARID5B	ENSG00000150347
ASMTL	ENSG00000169093
ASXL1	ENSG00000171456
ASXL2	ENSG00000143970
ATF7IP	ENSG00000171681
ATM	ENSG00000149311
ATP6AP1	ENSG00000071553
ATP6V1B2	ENSG00000147416
ATR	ENSG00000175054
ATRX	ENSG00000085224
ATXN3	ENSG00000066427
ATXN7	ENSG00000163635
AURKA	ENSG00000087586
AURKB	ENSG00000178999
AXIN1	ENSG00000103126
AXIN2	ENSG00000168646
AXL	ENSG00000167601
B2M	ENSG00000166710
BABAM1	ENSG00000105393
BAP1	ENSG00000163930
BARD1	ENSG00000138376
BBC3	ENSG00000105327
BCL10	ENSG00000142867
BCL11B	ENSG00000127152
BCL2	ENSG00000171791
BCL2L11	ENSG00000153094
BCL2L12	ENSG00000126453
BCL2L1	ENSG00000171552
BCL2L2	ENSG00000129473
BCL6	ENSG00000113916
BCL7A	ENSG00000110987
BCL9	ENSG00000116128
BCLAF1	ENSG00000029363
BCOR	ENSG00000183337
BCORL1	ENSG00000085185
BCR	ENSG00000186716
BIRC3	ENSG00000023445
BLM	ENSG00000197299
BMPR1A	ENSG00000107779
BRAF	ENSG00000157764
BRCA1	ENSG00000012048
BRCA2	ENSG00000139618
BRCC3	ENSG00000185515
BRD3	ENSG00000169925
BRD4	ENSG00000141867
BRD7	ENSG00000166164
BRINP3	ENSG00000162670
BRIP1	ENSG00000136492
BRSK1	ENSG00000160469
BTG1	ENSG00000133639
BTG2	ENSG00000159388
BTK	ENSG00000010671
BTLA	ENSG00000186265
BUB1B	ENSG00000156970
C3orf70	ENSG00000187068
C8orf34	ENSG00000165084
CACNA1A	ENSG00000141837
CACNA1D	ENSG00000157388
CAD	ENSG00000084774
CALR	ENSG00000179218
CAMTA1	ENSG00000171735
CARD11	ENSG00000198286
CARM1	ENSG00000142453
CASP8	ENSG00000064012
CBFA2T3	ENSG00000129993
CBFB	ENSG00000067955
CBLB	ENSG00000114423
CBLC	ENSG00000142273
CBL	ENSG00000110395
CBWD3	ENSG00000196873
CCDC6	ENSG00000108091
CCL2	ENSG00000108691
CCN6	ENSG00000112761
CCNB3	ENSG00000147082
CCND1	ENSG00000110092
CCND2	ENSG00000118971
CCND3	ENSG00000112576
CCNE1	ENSG00000105173
CCR2	ENSG00000121807
CCR4	ENSG00000183813
CCR5	ENSG00000160791
CCT6B	ENSG00000132141
CD19	ENSG00000177455
CD22	ENSG00000012124
CD274	ENSG00000120217
CD276	ENSG00000103855
CD27	ENSG00000139193
CD28	ENSG00000178562
CD33	ENSG00000105383
CD36	ENSG00000135218
CD40	ENSG00000101017
CD58	ENSG00000116815
CD70	ENSG00000125726
CD74	ENSG00000019582
CD79A	ENSG00000105369
CD79B	ENSG00000007312
CD80	ENSG00000121594
CDC73	ENSG00000134371
CDH10	ENSG00000040731
CDH1	ENSG00000039068
CDH4	ENSG00000179242
CDK12	ENSG00000167258
CDK4	ENSG00000135446
CDK6	ENSG00000105810
CDK8	ENSG00000132964
CDKN1A	ENSG00000124762
CDKN1B	ENSG00000111276
CDKN1C	ENSG00000129757
CDKN2A	ENSG00000147889
CDKN2B	ENSG00000147883
CDKN2C	ENSG00000123080
CEBPA	ENSG00000245848
CENPA	ENSG00000115163
CFTR	ENSG00000001626
CHD2	ENSG00000173575
CHD3	ENSG00000170004
CHD4	ENSG00000111642
CHD7	ENSG00000171316
CHD8	ENSG00000100888
CHEK1	ENSG00000149554
CHEK2	ENSG00000183765
CIC	ENSG00000079432
