Gene	Gene_ID	Locus	Gene_Size	Mut_Freq	Muts_per_Mbp	Mean_Gain	Mean_Loss	Selected	Num_Lists	fmi_cdx_324	fmi_heme_407	tcga_pancan_299	oncokids_170	goal_core_497	resistance_77	tempus_xt_648	pgdx_elio_505	msk_impact_505	trusight_523	profile_447	mayo_neuro_148	chop_solid_309	intogen_568	chop_heme_211	mayo_heme_42	join_all_1396	goal_full_2640	summary
NOTCH2	ENSG00000134250	01p12	16257	0.0849547	5.23	2.7292	1.9037	Y	14	1	1	1	1	1		1	1	1	1	1	1	1	1	1		1	1	Encodes a transmembrane receptor that regulates many aspects of development by affecting cell-fate determination.
TENT5C	ENSG00000183508	01p12	5662	0.0124254	2.19	2.6484	1.8908	Y	10	1	1			1		1	1	1	1	1		1	1			1	1	A non-canonical poly(A) polymerase, is most frequently altered by mutation and deletion in multiple myelomas.
HSD3B1	ENSG00000203857	01p12	1759	0.015026	8.54	2.7047	1.8997	Y	5	1				1		1	1		1							1	1	
CD58	ENSG00000116815	01p13.1	1773	0.00606819	3.42	2.6189	1.8841	Y	3		1			1									1			1	1	A cell surface adhesion molecule expressed in immune cells, is recurrently altered by mutation and deletion in hematopoietic malignancies.
VTCN1	ENSG00000134258	01p13.1-p12	3059	0.00616452	2.02	2.6369	1.8891	Y	3								1	1	1							1	1	Encodes B7-H4, a T-cell regulator of the immunoglobulin superfamily. B7-H4 is highly expressed in various human tumors
NRAS	ENSG00000213281	01p13.2	4354	0.0360239	8.27	2.6076	1.8825	Y	15	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	A GTPase, is mutated in a diverse range of cancers, most frequently in melanoma and thyroid cancer.
CSDE1	ENSG00000009307	01p13.2	4397	0.0500867	11.39	2.6085	1.8824	Y	2			1						1								1		An RNA-binding protein, is altered by mutation in various cancer types, including neuroendocrine tumors.
RBM15	ENSG00000162775	01p13.3	4682	0.0333269	7.12	2.5783	1.8818	Y	3													1	1	1		1	1	An RNA binding protein, is altered by chromosomal rearrangement in hematologic malignancies.
RPL5	ENSG00000122406	01p22.1	1060	0.00972838	9.18	2.5901	1.8803	Y	3			1				1					1					1	1	
BCL10	ENSG00000142867	01p22.3	2845	0.0140628	4.94	2.6070	1.8890	Y	6		1			1		1		1	1				1			1	1	A tumor suppressor and pro-apoptotic protein, is infrequently altered in cancer.
FUBP1	ENSG00000162613	01p31.1	6954	0.0186862	2.69	2.6188	1.8932	Y	10	1		1		1		1	1	1	1		1	1	1			1	1	A tumor suppressor and single-stranded DNA binding protein, is recurrently inactivated by mutation or deletion in glioma.
NEGR1	ENSG00000172260	01p31.1	12831	0.0135812	1.06	2.6244	1.8967	Y	2									1	1							1		A cell adhesion protein, is altered by deletion and mutation in various cancer types.
JAK1	ENSG00000162434	01p31.3	6303	0.0650164	10.32	2.6174	1.9019	Y	14	1	1	1	1	1	1	1	1	1	1	1		1	1	1		1	1	An intracellular kinase, is frequently altered in hematologic malignancies and gynecological cancers.
JUN	ENSG00000177606	01p32.1	3261	0.0618378	18.96	2.6415	1.9046	Y	8	1	1			1		1	1	1	1			1				1	1	A transcription factor, is altered by amplification and overexpression in various cancer types.
CDKN2C	ENSG00000123080	01p32.3	3034	0.00404546	1.33	2.6104	1.8978	Y	12	1	1	1		1		1	1	1	1	1	1	1	1			1	1	A tumor suppressor and cell cycle regulator, is infrequently altered in cancer.
FAF1	ENSG00000185104	01p32.3	6897	0.0152186	2.21	2.6115	1.9001	Y	1		1															1	1	
MKNK1	ENSG00000079277	01p33	3067	0.0122327	3.99	2.6167	1.9112	Y	2	1							1									1		
TAL1	ENSG00000162367	01p33	5082	0.020131	3.96	2.6129	1.9098	Y	4				1							1		1		1		1	1	A transcription factor, is recurrently altered by chromosomal rearrangement in T-lymphoblastic leukemias.
MUTYH	ENSG00000132781	01p34.1	2495	0.0209979	8.42	2.6231	1.9136	Y	9	1	1			1		1	1	1	1	1		1				1	1	A tumor suppressor involved in DNA repair. Germline mutations of MUTYH are associated with MUTYH-associated Polyposis syndrome.
RAD54L	ENSG00000085999	01p34.1	3213	0.0248507	7.73	2.6220	1.9125	Y	5	1						1	1	1	1							1	1	Encodes a protein involved in DNA double-strand break repair. Mutations of RAD54L are found in non-Hodgkin lymphoma and chronic lymphocytic leukemia, among other cancers.
MAST2	ENSG00000086015	01p34.1	6115	0.0656906	10.74	2.6221	1.9128	Y	2													1		1		1	1	
